"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Gets 409 status code and verifies response","9090","Try to upload a user with no Name - API Test","","Wed Apr 30 17:08:29 UTC 2025","failed","Wed Apr 30 17:08:38 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUserWithoutName"
"Updates a user and verifies status code and response","9067","Update User's all values - API Test","","Wed Apr 30 17:19:32 UTC 2025","failed","Wed Apr 30 17:19:42 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserAllValues"
"Gets 400 status code and verifies the body","9057","Try to update a user, when userToChange is null - API Test","","Wed Apr 30 17:18:47 UTC 2025","failed","Wed Apr 30 17:18:56 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenUserToChangeIsNull"
"Gets created users younger than 71 and verifies status code and response","9090","Get Users younger than parameter - API Test","","Wed Apr 30 17:11:31 UTC 2025","failed","Wed Apr 30 17:11:40 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersYoungerThanAge"
"Gets 424 status code and verifies response","9096","Try to upload two users, when Zip code is incorrect for one user - API Test","","Wed Apr 30 17:07:26 UTC 2025","failed","Wed Apr 30 17:07:35 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWithIncorrectZipCode"
"Gets 424 status code and verifies initial user is not updated","9074","Try to update a user, when incorrect Zip code in userNewValues - API Test","","Wed Apr 30 17:13:39 UTC 2025","failed","Wed Apr 30 17:13:48 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenIncorrectZipCode"
"Uploads a user and verifies status code and response","9088","Upload a user, when the code is in one row - API Test","","Wed Apr 30 17:08:20 UTC 2025","passed","Wed Apr 30 17:08:29 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUserWrittenInOneRowInsideJsonFile"
"Uploads a user and verifies status code and response","9058","Upload a user, when no user is created before uploading - API Test","","Wed Apr 30 17:09:06 UTC 2025","passed","Wed Apr 30 17:09:15 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserNoUsersCreatedPreviously"
"Uploads several users and verifies status code and response","9094","Upload several users - API Test","","Wed Apr 30 17:08:38 UTC 2025","passed","Wed Apr 30 17:08:47 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadSeveralUsers"
"Verifies status code and response, only unique codes should be added","9112","Add duplicated Zip codes - API Test","","Wed Apr 30 17:04:32 UTC 2025","passed","Wed Apr 30 17:04:41 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","addDuplicatedZipCodes"
"Gets 409 status code and verifies initial user is not updated","9060","Try to update a user, when Name is missed in userNewValues - API Test","","Wed Apr 30 17:18:02 UTC 2025","failed","Wed Apr 30 17:18:11 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenNameIsMissed"
"Gets 424 status code and verifies response","9085","Try to upload two users, when Zip code is unavailable for one user - API Test","","Wed Apr 30 17:09:42 UTC 2025","failed","Wed Apr 30 17:09:51 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWithUnavailableZipCode"
"Verifies the status code and response when only Name is sent","9119","Get 409 status code when send only Name inside request - API Test","","Wed Apr 30 17:05:27 UTC 2025","failed","Wed Apr 30 17:05:36 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","sendNameOnly"
"Gets 424 status code and verifies response","9086","Try to upload two users, when two different Zip codes are unavailable - API Test","","Wed Apr 30 17:10:27 UTC 2025","failed","Wed Apr 30 17:10:36 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWithTwoDifferentUnavailableZipCodes"
"Uploads a user and verifies status code and response","9107","Upload a user with no Age - API Test","","Wed Apr 30 17:07:07 UTC 2025","failed","Wed Apr 30 17:07:16 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithoutAge"
"Gets 400 status code and verifies the body","9057","Try to update a user, when all values are null in userToChange - API Test","","Wed Apr 30 17:17:44 UTC 2025","failed","Wed Apr 30 17:17:53 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenUsersToChangeValuesAreNull"
"Gets 409 status code and verifies response","9076","Try to upload two users, when one is with no Sex - API Test","","Wed Apr 30 17:10:36 UTC 2025","failed","Wed Apr 30 17:10:46 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWhereOneWithoutSex"
"Verifies the status code and response when sends DELETE request with no Sex","9066","Get 409 status code when try to delete user, Sex is missed in request - API Test","","Wed Apr 30 17:16:31 UTC 2025","failed","Wed Apr 30 17:16:40 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUserWithMissingSex"
"Updates a user and verifies status code and response","9059","Update User's Sex, age and zip code are missed in userNewValues - API Test","","Wed Apr 30 17:17:17 UTC 2025","failed","Wed Apr 30 17:17:26 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateSex"
"Gets 400 status code and verifies the body","9061","Try to update a user, when userToChange is null - API Test","","Wed Apr 30 17:14:33 UTC 2025","failed","Wed Apr 30 17:14:42 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenUserToChangeIsNull"
"Updates a user and verifies status code and response","9061","Update User, when userToChange goes first in the request body - API Test","","Wed Apr 30 17:17:35 UTC 2025","failed","Wed Apr 30 17:17:44 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenChangeUsersOrderInRequestBody"
"Verifies the status code and response when incorrect Zip code is sent","9091","Get 424 status code by sending incorrect Zip code in request - API Test","","Wed Apr 30 17:06:12 UTC 2025","failed","Wed Apr 30 17:06:22 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUserWhenIncorrectZipCode"
"Gets 424 status code and verifies initial user is not updated","9069","Try to update a user, when incorrect Zip code in userNewValues - API Test","","Wed Apr 30 17:17:53 UTC 2025","failed","Wed Apr 30 17:18:02 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenIncorrectZipCode"
"Deletes a user (Age is missed) and verifies status code and response","9081","Delete User when Age is missed in request - API Test","","Wed Apr 30 17:16:22 UTC 2025","failed","Wed Apr 30 17:16:31 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUserWithMissingAge"
"Updates a user and verifies status code and response","9058","Update User's all values are the same - API Test","","Wed Apr 30 17:18:29 UTC 2025","failed","Wed Apr 30 17:18:38 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWithTheSameData"
"Verifies the status code and response when unavailable Zip code is sent","9096","Get 424 status code by sending unavailable Zip code in request - API Test","","Wed Apr 30 17:06:03 UTC 2025","failed","Wed Apr 30 17:06:12 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUserWhenUnavailableZipCode"
"Gets created users by Sex and Age, verifies status code and response","9114","Get Users by Sex and Age - API Test","","Wed Apr 30 17:12:17 UTC 2025","failed","Wed Apr 30 17:12:26 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","filterUsersBySexAndAge"
"Gets 400 status code and verifies response","9089","Try to upload a .json file, when a coma is missed - API Test","","Wed Apr 30 17:09:51 UTC 2025","failed","Wed Apr 30 17:10:00 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithMissedComaInJson"
"Gets 400 status code and verifies response","9075","Try to send an integer inside an array - API Test","","Wed Apr 30 17:04:41 UTC 2025","failed","Wed Apr 30 17:04:50 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","sendIntToAddNewZipCode"
"Tries to get created users younger than parameter and verifies status code and response","9233","Get Users younger than border or incorrect parameters - API Test","","Wed Apr 30 17:12:35 UTC 2025","failed","Wed Apr 30 17:12:44 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersYoungerThanAgeWhenParameterOnBorderOrIncorrect"
"Gets 400 status code and verifies response","9100","Try to upload a .txt file - API Test","","Wed Apr 30 17:07:35 UTC 2025","failed","Wed Apr 30 17:07:44 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadNonJsonFile"
"Gets created users by sex (lower case) and verifies status code and response","9178","Get Users by Sex - API Test","","Wed Apr 30 17:11:04 UTC 2025","failed","Wed Apr 30 17:11:13 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersBySex"
"Gets 400 status code and verifies the body","9060","Try to update a user, when all values are null in userNewValues - API Test","","Wed Apr 30 17:18:56 UTC 2025","failed","Wed Apr 30 17:19:05 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenUserNewValuesAreNull"
"Gets 409 status code and verifies initial user is not updated","9064","Try to update a user, when Sex is missed in userNewValues - API Test","","Wed Apr 30 17:15:09 UTC 2025","failed","Wed Apr 30 17:15:19 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenSexIsMissed"
"Updates a user and verifies status code and response","9077","Update User's Age, zip code is missed in userNewValues - API Test","","Wed Apr 30 17:12:53 UTC 2025","failed","Wed Apr 30 17:13:03 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateAge"
"Gets 424 status code and verifies initial user is not updated","9067","Try to update a user, when unavailable Zip code in userNewValues - API Test","","Wed Apr 30 17:19:14 UTC 2025","failed","Wed Apr 30 17:19:23 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenUnavailableZipCode"
"Verifies the status code and response when trying to create a user with the same credentials","9114","Get 400 status code by trying to create a user with the same credentials - API Test","","Wed Apr 30 17:06:31 UTC 2025","failed","Wed Apr 30 17:06:40 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUsersWithEqualCredentials"
"Gets 409 status code and verifies response","9098","Try to upload two users, when both are with no Sex - API Test","","Wed Apr 30 17:07:53 UTC 2025","failed","Wed Apr 30 17:08:02 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWhereBothWithoutSex"
"Creates several users and verifies the POST and GET responses (GET response is for confirmation user is created)","9086","Create several users at a time - API Test","","Wed Apr 30 17:05:54 UTC 2025","failed","Wed Apr 30 17:06:03 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createSeveralUsersAtOnce"
"Gets 400 status code and verifies response","9086","Try to upload an empty .json file - API Test","","Wed Apr 30 17:09:24 UTC 2025","failed","Wed Apr 30 17:09:33 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadAnEmptyFile"
"Gets 424 status code and verifies response","9094","Try to upload two users, when one Zip code is incorrect another is unavailable - API Test","","Wed Apr 30 17:10:00 UTC 2025","failed","Wed Apr 30 17:10:09 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWithOneIncorrectAnotherUnavailableZipCode"
"Gets 409 status code and verifies initial user is not updated","9062","Try to update a user, when Name and Sex are missed in userNewValues - API Test","","Wed Apr 30 17:15:28 UTC 2025","failed","Wed Apr 30 17:15:37 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenNameAndSexAreMissed"
"Gets 400 status code and verifies the body","9055","Try to update a user, when userToChange does not exist - API Test","","Wed Apr 30 17:15:37 UTC 2025","failed","Wed Apr 30 17:15:46 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateNonExistingUser"
"Uploads a user and verifies status code and response","9096","Upload a user, when fields are reordered inside .json file - API Test","","Wed Apr 30 17:07:44 UTC 2025","passed","Wed Apr 30 17:07:53 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUserWithChangedFieldsOrder"
"Gets 409 status code and verifies response","9385","Try to upload two users, when both are with no Names - API Test","","Wed Apr 30 17:06:58 UTC 2025","failed","Wed Apr 30 17:07:07 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWhereTwoWithoutNames"
"Gets 400 status code and verifies the body","9063","Try to update a user, when all values are null in userNewValues - API Test","","Wed Apr 30 17:14:42 UTC 2025","failed","Wed Apr 30 17:14:51 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenUserNewValuesAreNull"
"Uploads a user and verifies status code and response","9080","Upload a user with no Zip code - API Test","","Wed Apr 30 17:08:57 UTC 2025","failed","Wed Apr 30 17:09:06 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithoutZipCode"
"Gets created users by Age and Sex, verifies status code and response","9128","Get Users by Age and Sex - API Test","","Wed Apr 30 17:11:22 UTC 2025","failed","Wed Apr 30 17:11:31 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","filterUsersByAgeAndSex"
"Gets 400 status code and verifies response","9071","Try to send an empty array - API Test","","Wed Apr 30 17:05:00 UTC 2025","failed","Wed Apr 30 17:05:09 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","sendEmptyArrayToAddNewZipCode"
"Gets 409 status code and verifies initial user is not updated","9059","Try to update a user, when all values are null in userNewValues - API Test","","Wed Apr 30 17:14:24 UTC 2025","failed","Wed Apr 30 17:14:33 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenAllNewValuesAreNull"
"Verifies the status code and response when an empty body is sent","9113","Get 409 status code when send an empty body in request - API Test","","Wed Apr 30 17:05:36 UTC 2025","failed","Wed Apr 30 17:05:45 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","sendEmptyBody"
"Updates a user and verifies status code and response","9063","Update User, when changed fields order of userToChange - API Test","","Wed Apr 30 17:13:57 UTC 2025","failed","Wed Apr 30 17:14:06 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenChangeTheFieldsOrderInToChangeValues"
"Updates a user and verifies status code and response","9060","Update User's Sex, age is missed in userNewValues - API Test","","Wed Apr 30 17:17:26 UTC 2025","failed","Wed Apr 30 17:17:35 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateZipCode"
"Verifies status code and response when try to get users by sex=male","9102","Get 400 status code when try to get users by sex=male - API Test","","Wed Apr 30 17:12:26 UTC 2025","passed","Wed Apr 30 17:12:35 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersBySexIncorrectParameterValue"
"Gets created users older than 25 and verifies status code and response","9088","Get Users older than parameter - API Test","","Wed Apr 30 17:12:08 UTC 2025","failed","Wed Apr 30 17:12:17 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersOlderThanAge"
"Updates a user and verifies status code and response","9057","Update User, when changed fields order of userToChange - API Test","","Wed Apr 30 17:18:11 UTC 2025","failed","Wed Apr 30 17:18:20 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenChangeTheFieldsOrderInToChangeValues"
"Gets 400 status code and verifies response","9083","Try to send an empty object - API Test","","Wed Apr 30 17:05:09 UTC 2025","passed","Wed Apr 30 17:05:18 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","sendEmptyObjectToAddNewZipCode"
"Verifies the status code and response when tries to delete not existing user","9077","Get 404 status code when try to delete not created user - API Test","","Wed Apr 30 17:15:55 UTC 2025","failed","Wed Apr 30 17:16:04 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUserWhenNoUsersCreated"
"Creates a user and verifies the user is created when change the fields order inside request","9117","Create User when change fields order in the request - API Test","","Wed Apr 30 17:05:45 UTC 2025","failed","Wed Apr 30 17:05:54 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUserWhenChangeTheFieldsOrder"
"Updates a user and verifies status code and response","9056","Update User, when changed fields order of userNewValues - API Test","","Wed Apr 30 17:19:05 UTC 2025","failed","Wed Apr 30 17:19:14 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenChangeTheFieldsOrderInNewValues"
"Gets 409 status code and verifies initial user is not updated","9058","Try to update a user, when Name and Sex are missed in userNewValues - API Test","","Wed Apr 30 17:19:42 UTC 2025","failed","Wed Apr 30 17:19:51 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenNameAndSexAreMissed"
"Gets 424 status code and verifies response","9081","Try to upload a user, when Zip code is unavailable - API Test","","Wed Apr 30 17:08:47 UTC 2025","failed","Wed Apr 30 17:08:57 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithUnavailableZipCode"
"Gets 424 status code and verifies response","9085","Try to upload two users, when Zip code is unavailable for both of them - API Test","","Wed Apr 30 17:09:33 UTC 2025","failed","Wed Apr 30 17:09:42 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWithTheSameUnavailableZipCodeForTwo"
"Gets 409 status code and verifies initial user is not updated","9068","Try to update a user, when Name is missed in userNewValues - API Test","","Wed Apr 30 17:13:48 UTC 2025","failed","Wed Apr 30 17:13:57 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenNameIsMissed"
"Updates a user and verifies status code and response","9064","Update User's Age, zip code is missed in userNewValues - API Test","","Wed Apr 30 17:17:07 UTC 2025","failed","Wed Apr 30 17:17:17 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateAge"
"Verifies the status code and response when sends DELETE request with an empty body","9084","Get 409 status code when try to delete user, provided empty body request - API Test","","Wed Apr 30 17:16:04 UTC 2025","failed","Wed Apr 30 17:16:13 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUserWithEmptyBodyRequest"
"Gets 424 status code and verifies initial user is not updated","9072","Try to update a user, when unavailable Zip code in userNewValues - API Test","","Wed Apr 30 17:15:00 UTC 2025","failed","Wed Apr 30 17:15:09 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenUnavailableZipCode"
"Updates a user and verifies status code and response","9068","Update User's Sex, age and zip code are missed in userNewValues - API Test","","Wed Apr 30 17:13:03 UTC 2025","failed","Wed Apr 30 17:13:12 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateSex"
"Gets 424 status code and verifies response","9126","Try to upload two users, when Zip code is incorrect for both of them - API Test","","Wed Apr 30 17:08:02 UTC 2025","failed","Wed Apr 30 17:08:11 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWithIncorrectTwoZipCodes"
